Returned,Order ID,Region
Yes,CA-2022-SA20830140-41210,Central US
Yes,IN-2022-PB19210127-41259,Eastern Asia
Yes,CA-2022-SC20095140-41174,Central US
Yes,IN-2025-JH158207-42140,Oceania
Yes,IN-2024-LC168857-41747,Oceania
Yes,ID-2023-AB1001527-41439,Eastern Asia
Yes,ES-2025-RA1994545-42218,Western Europe
Yes,CA-2024-TB21280140-41724,Central US
Yes,ES-2024-JF15295120-41924,Southern Europe
Yes,IN-2024-NM1844527-41800,Eastern Asia
Yes,IN-2025-GB145307-42260,Oceania
Yes,ES-2022-SC208458-41070,Western Europe
Yes,TU-2023-SF10200134-41417,Western Asia
Yes,ID-2025-RD1993092-42140,Oceania
Yes,CA-2024-TC21295140-41800,Southern US
Yes,SF-2025-MV8190117-42362,Southern Africa
Yes,IN-2024-EM1382566-41850,Eastern Asia
Yes,ES-2025-CC1210045-42182,Western Europe
Yes,ES-2025-MM1792045-42199,Western Europe
Yes,IN-2025-DB1306027-42353,Eastern Asia
Yes,IN-2023-JC157757-41310,Oceania
Yes,CA-2025-RB19705140-42262,Eastern US
Yes,ES-2025-BB1154548-42336,Western Europe
Yes,AL-2022-SC102302-40970,Southern Europe
Yes,UP-2024-MC7275137-41997,Eastern Europe
Yes,IN-2023-EJ13720113-41608,Southeastern Asia
Yes,CA-2022-AJ10780140-41212,Eastern US
Yes,CA-2024-EM14140140-41822,Western US
Yes,ES-2025-RD19585120-42007,Southern Europe
Yes,US-2024-SC20230140-41873,Western US
Yes,IN-2023-JR1570058-41441,Southern Asia
Yes,IN-2023-DL129257-41418,Oceania
Yes,ES-2024-EG1390045-41644,Western Europe
Yes,ES-2023-DB1297045-41458,Western Europe
Yes,CA-2024-CL12565140-41768,Eastern US
Yes,ES-2024-EB13930139-41962,Northern Europe
Yes,IN-2025-ML1739559-42369,Southeastern Asia
Yes,SA-2025-MC7575110-42326,Western Asia
Yes,CA-2024-SS1041023-41995,Eastern Canada
Yes,ID-2025-ST205307-42336,Oceania
Yes,MX-2022-AH1003082-41251,Central America
Yes,ID-2025-MM1726078-42181,Southeastern Asia
Yes,IT-2025-DM1301564-42167,Southern Europe
Yes,IN-2025-JW1595527-42190,Eastern Asia
Yes,CA-2023-SG20080140-41578,Western US
Yes,IN-2024-PF1912027-41916,Eastern Asia
Yes,US-2025-AG1052582-42355,Central America
Yes,IN-2025-PB191057-42281,Oceania
Yes,MX-2025-BS1136518-42199,South America
Yes,IT-2022-MP1817545-41040,Western Europe
Yes,IN-2024-BT1168027-41815,Eastern Asia
Yes,IN-2023-MH180257-41443,Oceania
Yes,ID-2025-LW172157-42293,Oceania
Yes,MX-2024-KA1652539-41922,Central America
Yes,ID-2025-CS123557-42328,Oceania
Yes,IN-2025-KM163757-42342,Oceania
Yes,MX-2023-PK1891082-41532,Central America
Yes,ES-2025-BT1139564-42088,Southern Europe
Yes,MX-2023-CC1243082-41634,Central America
Yes,IT-2025-AR1082545-42290,Western Europe
Yes,ID-2024-CS11860102-41858,Southeastern Asia
Yes,IN-2024-AB1060058-41858,Southern Asia
Yes,IN-2022-CG1204027-41252,Eastern Asia
Yes,AG-2023-PO88653-41634,North Africa
Yes,EG-2025-CM211538-42144,North Africa
Yes,ES-2025-BN1151545-42304,Western Europe
Yes,IN-2024-CL1189066-41999,Eastern Asia
Yes,ID-2025-AA1064559-42332,Southeastern Asia
Yes,ES-2024-JK1609064-41800,Southern Europe
Yes,IN-2025-CD1192059-42326,Southeastern Asia
Yes,IN-2022-ES1408027-40941,Eastern Asia
Yes,MX-2023-DO1364512-41461,Caribbean
Yes,CG-2023-SC1030533-41538,Central Africa
Yes,SI-2025-SM10005115-42252,Southern Europe
Yes,IN-2022-GT1471058-41158,Southern Asia
Yes,ID-2023-SC2080059-41380,Southeastern Asia
Yes,MX-2023-HF1499518-41423,South America
Yes,ES-2022-AG1049545-41002,Western Europe
Yes,IN-2025-SD2048527-42259,Eastern Asia
Yes,CA-2022-PC18745140-41273,Eastern US
Yes,US-2025-DH13075140-42092,Western US
Yes,ES-2025-LR1691545-42237,Western Europe
Yes,SF-2025-CD1920117-42055,Southern Africa
Yes,ES-2022-TT2146045-41014,Western Europe
Yes,IN-2025-PS1904558-42272,Southern Asia
Yes,CA-2025-KL16555140-42313,Southern US
Yes,US-2023-PO1918082-41504,Central America
Yes,ID-2025-JG15310130-42133,Southeastern Asia
Yes,ES-2024-MG17680120-41867,Southern Europe
Yes,ES-2025-RA1994548-42249,Western Europe
Yes,IT-2025-KD1634545-42238,Western Europe
Yes,CA-2022-DP13165140-41244,Eastern US
Yes,CA-2024-EH13765140-41997,Western US
Yes,ID-2025-TB214007-42322,Oceania
Yes,MX-2023-ES1408018-41619,South America
Yes,IN-2022-TB2152059-41207,Southeastern Asia
Yes,ES-2022-MR1754564-41157,Southern Europe
Yes,IN-2025-GW1460558-42173,Southern Asia
Yes,CA-2023-JK15205140-41544,Southern US
Yes,IN-2025-GM1445558-42273,Southern Asia
Yes,CA-2025-MG18145140-42285,Western US
Yes,CA-2023-EM13960140-41548,Western US
Yes,ES-2024-RM1937545-41643,Western Europe
Yes,IN-2022-GG1465027-40992,Eastern Asia
Yes,IN-2024-TB2140066-41873,Eastern Asia
Yes,MX-2025-MP1796518-42189,South America
Yes,US-2022-LT17110140-41060,Southern US
Yes,ES-2023-BF1117048-41527,Western Europe
Yes,ID-2023-CC126857-41572,Oceania
Yes,ES-2023-AJ1094548-41444,Western Europe
Yes,US-2025-GZ14545140-42212,Western US
Yes,ES-2025-BM1165045-42176,Western Europe
Yes,ID-2024-RD197207-41776,Oceania
Yes,MX-2025-DB1336018-42280,South America
Yes,US-2022-CV12295140-40995,Central US
Yes,IT-2023-BF1102045-41418,Western Europe
Yes,IN-2025-LT1676511-42286,Southern Asia
Yes,IN-2025-VB217451-42349,Southern Asia
Yes,IT-2024-JG15115104-41952,Southern Europe
Yes,MX-2022-JP1552018-41174,South America
Yes,MX-2022-RD1993051-41223,Central America
Yes,IN-2025-AT1043559-42243,Southeastern Asia
Yes,IN-2022-SC2069559-41248,Southeastern Asia
Yes,ES-2022-ER13855120-41159,Southern Europe
Yes,ES-2022-TB2162545-41262,Western Europe
Yes,ES-2023-CM124458-41375,Western Europe
Yes,US-2022-BF11170140-41266,Western US
Yes,ID-2024-CJ1187592-41831,Oceania
Yes,RS-2025-GG4650108-42102,Eastern Europe
Yes,ES-2025-KA1652545-42353,Western Europe
Yes,MX-2024-CW1190593-41788,Central America
Yes,MX-2025-SV2078582-42347,Central America
Yes,ES-2022-DJ1351048-40923,Western Europe
Yes,CA-2024-HF14995140-41761,Southern US
Yes,CA-2024-CL12565140-41788,Western US
Yes,CA-2022-LR16915140-41128,Western US
Yes,CA-2025-KH16510140-42347,Western US
Yes,MX-2025-KC1667518-42070,South America
Yes,CA-2024-ON18715140-41959,Southern US
Yes,IN-2023-MA1799559-41314,Southeastern Asia
Yes,IS-2024-RA928563-41916,Western Asia
Yes,IN-2022-TB2162588-41177,Southeastern Asia
Yes,IN-2022-MC1784559-41116,Southeastern Asia
Yes,ID-2024-KH16690144-41991,Southeastern Asia
Yes,ES-2025-AT1073545-42367,Western Europe
Yes,ES-2024-PO1885048-41898,Western Europe
Yes,CA-2025-EB13750140-42111,Southern US
Yes,EG-2025-AC66038-42250,North Africa
Yes,IN-2023-TH2111558-41488,Southern Asia
Yes,ES-2022-GH14485139-41054,Northern Europe
Yes,ES-2024-LL1684048-41986,Western Europe
Yes,CA-2024-NS18640140-41985,Eastern US
Yes,ID-2022-MD1786059-40965,Southeastern Asia
Yes,ES-2022-TB2140048-40968,Western Europe
Yes,RS-2025-TB11520108-42126,Eastern Europe
Yes,ID-2025-BG1169588-42012,Southeastern Asia
Yes,CA-2024-ES14020140-41802,Eastern US
Yes,ES-2025-HG14965120-42080,Southern Europe
Yes,MX-2022-SW2075593-41250,Central America
Yes,CA-2022-BP11095140-41261,Western US
Yes,IN-2024-BG110357-41735,Oceania
Yes,ES-2025-EB1417064-42012,Southern Europe
Yes,MX-2025-EH1418531-42166,Caribbean
Yes,IN-2025-DS1303058-42173,Southern Asia
Yes,CA-2025-AG10900140-42126,Southern US
Yes,ES-2023-DE1325545-41278,Western Europe
Yes,SA-2023-JD6150110-41600,Western Asia
Yes,ID-2025-HA1490592-42287,Oceania
Yes,CA-2023-IM15070140-41459,Central US
Yes,US-2025-TZ2144518-42259,South America
Yes,ES-2025-DK1309045-42158,Western Europe
Yes,MX-2023-PT1909082-41579,Central America
Yes,ES-2025-EB141108-42267,Western Europe
Yes,SF-2024-JD6060117-41648,Southern Africa
Yes,ES-2025-AR1051045-42234,Western Europe
Yes,IN-2023-CL1270027-41555,Eastern Asia
Yes,ES-2025-AH1012045-42057,Western Europe
Yes,IT-2023-ZD2192548-41503,Western Europe
Yes,IN-2024-DJ1342058-41646,Southern Asia
Yes,ES-2024-LC1705048-41718,Western Europe
Yes,MX-2024-AJ1096031-41801,Caribbean
Yes,CA-2024-CP12340140-41808,Eastern US
Yes,IN-2023-JK1609027-41615,Eastern Asia
Yes,AJ-2023-SG108909-41580,Western Asia
Yes,MX-2025-DV1304593-42215,Central America
Yes,ES-2023-TP2156545-41598,Western Europe
Yes,US-2025-HG1484551-42171,Central America
Yes,IN-2024-AM103607-41864,Oceania
Yes,CA-2025-DO13645140-42263,Western US
Yes,ES-2024-JP1552045-41871,Western Europe
Yes,MX-2023-JR1621037-41627,South America
Yes,MX-2023-RL1961582-41572,Central America
Yes,ES-2024-EP1391548-42004,Western Europe
Yes,IN-2023-CD1228058-41311,Southern Asia
Yes,MX-2023-EC1405018-41599,South America
Yes,MX-2023-PO1885051-41338,Central America
Yes,CA-2022-FP14320140-41251,Eastern US
Yes,MX-2022-YS2188093-41060,Central America
Yes,IN-2023-CC1261027-41286,Eastern Asia
Yes,IN-2024-DB1321027-41899,Eastern Asia
Yes,MX-2024-JR1570036-41775,Caribbean
Yes,CA-2023-VD21670140-41583,Southern US
Yes,CA-2024-BM11785140-41835,Central US
Yes,ES-2024-JP16135139-41899,Northern Europe
Yes,US-2022-KB1631598-41064,Central America
Yes,IN-2022-AM10705130-41151,Southeastern Asia
Yes,MX-2025-SC2038093-42151,Central America
Yes,GH-2023-MH729049-41615,Western Africa
Yes,IN-2023-NC1834058-41385,Southern Asia
Yes,CA-2023-EB14110140-41377,Western US
Yes,IN-2025-JF1549078-42334,Southeastern Asia
Yes,ID-2025-HM148607-42243,Oceania
Yes,CA-2024-NS18505140-41968,Central US
Yes,ID-2023-AO1081059-41556,Southeastern Asia
Yes,CA-2025-VW21775140-42326,Eastern US
Yes,MO-2023-NK849086-41366,North Africa
Yes,IN-2024-KL1655592-41857,Oceania
Yes,CA-2024-SN20560140-41817,Central US
Yes,MX-2024-SJ2012539-41908,Central America
Yes,MX-2025-DP1316593-42293,Central America
Yes,ES-2023-MN1793548-41466,Western Europe
Yes,SA-2024-SJ10125110-41944,Western Asia
Yes,IT-2025-ME18010124-42235,Northern Europe
Yes,CA-2025-AD10180140-42340,Eastern US
Yes,ID-2024-TB2125059-41973,Southeastern Asia
Yes,IN-2023-PS187607-41402,Oceania
Yes,CA-2022-MC17425140-41058,Central US
Yes,US-2024-DA134505-41926,South America
Yes,ID-2025-EN137807-42312,Oceania
Yes,MX-2025-CB1241598-42333,Central America
Yes,HU-2025-JP552057-42249,Eastern Europe
Yes,CA-2022-KH16630140-41213,Southern US
Yes,CA-2022-BS11755140-41046,Eastern US
Yes,US-2025-SJ2021554-42255,Caribbean
Yes,MX-2022-KT1646518-41017,South America
Yes,MX-2025-AS1028518-42351,South America
Yes,MX-2025-SC2068082-42231,Central America
Yes,ES-2024-MW1822048-41998,Western Europe
Yes,MX-2023-MF1766551-41402,Central America
Yes,CA-2024-JM15535140-41998,Eastern US
Yes,CA-2022-CC247523-41031,Eastern Canada
Yes,CA-2022-NC18535140-41112,Western US
Yes,IN-2023-MM172607-41395,Oceania
Yes,IN-2023-PR1888027-41430,Eastern Asia
Yes,NI-2024-RA994595-41979,Western Africa
Yes,US-2022-RB19435140-41237,Western US
Yes,ES-2024-LP17095139-41772,Northern Europe
Yes,MX-2024-FA1423055-41976,Central America
Yes,IN-2024-SH19975130-41975,Southeastern Asia
Yes,CA-2024-GK14620140-41753,Western US
Yes,US-2022-DK1289598-41166,Central America
Yes,ES-2024-AB10165139-41888,Northern Europe
Yes,US-2024-SP20860140-41968,Western US
Yes,IT-2022-GD1459091-40988,Western Europe
Yes,IN-2024-NB1865527-41858,Eastern Asia
Yes,PL-2022-JD5790103-41249,Eastern Europe
Yes,KE-2025-JH598569-42317,Eastern Africa
Yes,MX-2024-DC1328518-41751,South America
Yes,ES-2024-HG1502548-41783,Western Europe
Yes,IV-2024-AM70529-41678,Western Africa
Yes,RO-2024-ND8370107-41839,Eastern Europe
Yes,EG-2025-AY55538-42121,North Africa
Yes,MO-2024-KH669086-41830,North Africa
Yes,IN-2024-SR2074027-41767,Eastern Asia
Yes,IN-2023-MF176657-41300,Oceania
Yes,ES-2023-HM1498064-41289,Southern Europe
Yes,MX-2025-DL1331582-42335,Central America
Yes,US-2023-MW1822036-41387,Caribbean
Yes,US-2024-BG11695140-42001,Central US
Yes,MX-2024-SW2075582-41811,Central America
Yes,MO-2024-MO795086-41706,North Africa
Yes,MX-2025-PO1885082-42279,Central America
Yes,US-2024-DR12880140-41723,Western US
Yes,CA-2022-AG10525140-41153,Central US
Yes,IT-2023-KH1669045-41490,Western Europe
Yes,US-2022-JP155205-41153,South America
Yes,CG-2025-AM70533-42233,Central Africa
Yes,CA-2025-AJ10945140-42248,Central US
Yes,MX-2023-SO2033526-41400,South America
Yes,IN-2022-TS2150559-40990,Southeastern Asia
Yes,CA-2025-MV17485140-42333,Western US
Yes,IN-2025-SC2038027-42306,Eastern Asia
Yes,IT-2022-JC1610564-41053,Southern Europe
Yes,CA-2025-LE16810140-42348,Western US
Yes,US-2023-BB1099036-41379,Caribbean
Yes,TU-2023-AH195134-41319,Western Asia
Yes,MX-2024-TS2120518-41791,South America
Yes,IR-2022-FH436560-41114,Southern Asia
Yes,MX-2024-SH2039582-41895,Central America
Yes,US-2024-GT14710140-41980,Western US
Yes,IR-2024-BN151560-41880,Southern Asia
Yes,ES-2022-SH2039545-40914,Western Europe
Yes,SA-2023-SC10260110-41451,Western Asia
